;score10_6;score10_8;score35;dist35_10;scorephage;fe;freqAT;host;size10;size35_6;size35_7;size35_9;size35_14;sizephage_23;sizephage_21;sizephage_32;TG;Podo;Sipho;Myo;tp;Bacillus;EColi;Klebsiella;Pectobacterium;Cronobacter;output
NC_019401:223261;-0,202250348;-0,111108871;-0,396662397;0,007779682;-0,02230836;0,549257977;0,757174405;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_001978:106795;-0,551132915;-0,778237909;0,58556602;1,501478666;1,097930582;-1,890219814;-1,510569238;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
KU574722:Porf_282;1,849511427;0,371454203;0,912563391;0,007779682;-0,652745471;1,37750983;1,513088953;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
AY543070:277798;-0,936011292;-0,272604078;-0,794677539;0,754629174;-0,603309945;0,214644229;0,127245616;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
NC_009936:243242;-1,381805646;0,95206794;-0,334596353;-0,73906981;0,198620437;-1,567753759;-1,636554996;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
EU056923:270524;-0,877864198;-1,424218785;-1,866616744;-1,112494556;-0,821550726;-1,695856712;-1,762540754;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_011085:192794;0,761330044;-0,251455896;-0,801755704;1,501478666;-0,835319111;0,446554747;0,379217131;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_000866:P49;0,456750063;2,359383396;1,044536021;-1,859344048;-0,35398871;1,418370255;1,387103195;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
NC_004914:116713;0,301691166;0,95206794;-1,73607445;-0,365645064;-0,444672202;0,282008713;0,379217131;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
EU056923:269028;-0,061035983;-0,659039038;-2,29645796;-1,485919302;-0,175658928;-1,129332445;-1,132611964;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
KU574722:173809;0,027569091;0,111908344;-0,026695811;0,007779682;-0,002885616;1,375301158;1,261117437;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
NC_025418:144720;0,705951782;-0,005367944;-2,67419946;0,381204428;-0,076890765;-1,469467872;-1,636554996;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
NC_001317:289200;0,038644717;1,350038318;-1,720136484;-1,859344048;-0,36799693;-0,026100977;0,253231374;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
AY543070:PN25;1,849511427;1,090492459;0,514784364;0,381204428;-0,587631841;1,807096458;2,017031985;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
NC_000866:P61;0,88039309;1,611506691;1,58744749;-1,485919302;-0,360372397;1,531012507;1,639074711;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
NC_004167:6998;0,406909614;0,809798392;0,295361061;0,381204428;-1,068471143;1,184251064;1,387103195;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0
NC_004167:9610;-0,742187651;0,436821342;-0,727434923;-0,73906981;-0,327177198;0,462015449;0,505202889;1;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0
NC_002649:C2;1,124057128;1,301974266;1,583588382;0,754629174;0,662295117;1,16437302;1,009145921;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1
KU574722:167389;0,705951782;0,398370092;-1,314465499;0,007779682;-0,335507403;-0,069170073;0,001259858;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0
NC_011085:192611;0,434598679;-0,905126975;-0,578793319;0,381204428;0,474131641;-1,45952885;-1,38458348;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_025418:P2;-0,459758918;-0,430254165;-0,509026159;-1,859344048;3,988198814;-0,651155042;-0,628668932;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1
AY543070:275819;0,459518904;-0,520614587;-1,347058838;-1,485919302;-0,664301411;0,042367843;-0,1247259;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
NC_004777:A0;-0,290855455;-0,82630196;1,583588382;0,381204428;-0,888942137;0,183722826;0,001259858;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
EU622808:4999;0,24908181;0,461814625;-1,636980047;1,501478666;-1,051576574;0,223478915;0,127245616;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
NC_009935:A1;0,395833988;-1,051241735;1,941036167;0,381204428;-0,085987833;-1,304921838;-1,636554996;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
KU574722:155349;-0,202250348;0,677141599;-0,322487374;-1,112494556;-0,282224567;0,293052071;0,379217131;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
NC_011040:197691;-0,451452198;0,717515409;1,134124445;1,501478666;-0,718883826;0,617726797;0,505202889;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
NC_019401:205832;0,152170016;-0,157250356;-1,028257236;0,007779682;-1,115812835;0,09316729;0,127245616;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
NC_025418:147609;-1,030154205;-0,697490288;-0,573061882;-1,859344048;0,235008703;-0,782571002;-1,006626206;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
NC_000902:80969;-0,130258712;-0,770547668;-0,383738938;-1,859344048;0,526114834;-0,530782439;-0,628668932;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_027375:253179;-2,190327075;-2,010600248;0,267977415;0,007779682;-0,197751808;-1,922245552;-2,01451227;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
KU574722:156066;0,456750063;0,717515409;-0,940571235;-1,112494556;0,296089017;0,659691557;0,505202889;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
AY543070:P31A;1,849511427;1,301974266;0,235196569;0,381204428;-0,894049086;1,119095252;1,261117437;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
KU574722:Porf_290;1,849511427;0,957835666;1,058456882;-1,859344048;-0,172691838;1,039583074;1,009145921;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
KP025626:248928;-0,515137114;-0,205314406;-1,394848252;0,007779682;-0,252334216;-1,193383921;-1,258597722;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_001604:phi1.3;-0,4237631;-0,111108871;0,284743728;1,12805392;2,985959169;0,404589987;0,127245616;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_019401:217474;0,769636698;1,611506691;0,921779308;1,501478666;-0,731879624;1,348797099;1,261117437;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_013649:128909;-1,431646029;0,421440815;0,964248301;1,12805392;0,279194449;-1,963105977;-1,888526512;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
NC_011040:phi4.7;-0,703422922;0,386834685;-0,15822186;-1,485919302;2,546761067;0,752455765;0,757174405;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
KU574722:169751;0,456750063;0,067689413;-0,740441598;0,381204428;-0,105024697;-0,110030498;0,001259858;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
AY543070:273868;-0,695116194;-0,347583995;1,044536021;-1,485919302;0,273996129;0,27206969;0,127245616;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
EU056923:270216;-0,62866238;-1,747209177;-0,781874006;-1,485919302;0,206499491;-1,099515378;-1,132611964;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_004777:193807;-1,409494777;-0,30336507;0,150519433;0,007779682;-0,758714815;-0,143160572;-0,1247259;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_003298:phi3.8;-0,16902347;0,094605279;0,479393536;0,381204428;3,744341889;0,492936851;0,379217131;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_000929:29780;-1,315351856;-0,86475321;-0,1388677;0,007779682;-0,251034636;-1,048715931;-1,006626206;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0
NC_001978:Ep_j;0,038644717;-0,451402351;-0,457886753;0,007779682;3,98819874;-0,856561501;-1,006626206;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1
NC_003298:54560;0,343224698;-1,045474009;-0,776305688;-1,112494556;-0,426478084;-0,520843417;-0,502683174;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
NC_000866:73529;1,431406081;0,192655919;-0,033773977;-0,365645064;-1,078640652;0,569136022;0,631188647;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
KP025626:A1;-0,349002558;-1,08969294;1,941036167;0,381204428;-0,0470004;-0,574955871;-0,628668932;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
AY543070:P048;1,849511427;0,192655919;0,302439227;0,381204428;-0,359095659;1,122408259;1,135131679;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
NC_002371:PsieA;0,343224698;-0,457170031;0,125484918;1,12805392;-0,556424826;0,234522273;0,379217131;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1
NC_001825:104842;-1,176906399;-0,643658556;-0,019617646;0,381204428;-0,526545824;-0,251385481;-0,250711658;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_013649:126145;-0,576053107;0,231107169;-0,322487374;-1,112494556;-0,193119649;0,139549394;0,001259858;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
NC_003298:phi1.05;-0,16902347;-0,701335408;-0,483237999;1,501478666;3,344722611;0,401276979;0,001259858;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_001271:121987;-0,985851651;-0,080347873;-0,350328964;-1,485919302;0,178196171;-1,044298588;-0,75465469;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
EU056923:269433;-1,730688197;-1,443444387;-0,93978006;-0,73906981;0,157033835;-1,674874332;-1,762540754;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
AY543070:273175;-0,459758918;1,611506691;0,284743728;0,381204428;-0,237805499;1,491256418;1,765060469;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
NC_001416:26517;-0,061035983;0,023470482;-0,667270431;-0,365645064;-0,206848875;0,219061572;0,379217131;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
KU574722:Porf_525;0,88039309;1,121253422;0,946552803;1,12805392;-0,50847404;0,8275506;1,009145921;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
NC_000902:82959;-0,205019254;-0,451402351;-0,217806536;1,874903412;-0,579828629;-0,54624314;-0,502683174;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_010326:257648;-0,839099469;-0,468705415;0,284743728;0,381204428;0,363667231;-1,708004406;-1,510569238;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_006949:295140;-1,667003281;-1,666461556;-0,77073737;-1,859344048;-0,262730854;-0,958160395;-1,006626206;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
NC_005856:pInsA;0,406909614;0,029238163;1,134124445;-0,365645064;-0,734456777;0,565823014;0,631188647;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
NC_028870:139436;0,578582082;-0,457170031;-1,085877041;0,007779682;-0,239082236;-0,493235022;-0,376697416;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0
NC_000866:68065;0,456750063;0,502188436;0,643616727;-1,112494556;0,214159915;1,707706235;1,639074711;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
KP025626:246605;-0,26870417;-0,616742667;0,405489095;0,381204428;-0,379393057;-1,046507259;-1,006626206;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
KU574722:174301;0,650573651;1,519223801;-0,49739433;1,501478666;-0,435699955;1,066087133;0,883160163;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
NC_000929:27739;-0,76710783;0,148437011;-1,028257236;0,007779682;-0,252334216;-0,813492405;-0,880640448;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
NC_012418:260657;-1,390112365;-0,520614587;0,24792358;0,381204428;0,154127342;-1,355721285;-1,38458348;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
NC_002730:98304;0,478901315;-0,211082092;-0,030150413;-1,485919302;-0,473262989;0,424468031;0,505202889;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_004167:9123;-0,86955747;-0,812843993;1,279226924;-0,73906981;-0,147068141;-1,269583092;-1,006626206;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0
NC_003298:phi1.3;-0,490216922;-0,111108871;0,422768042;1,501478666;3,388131739;0,010342105;-0,1247259;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_001604:phi4.7;0,459518904;1,090492459;-0,709739467;-0,365645064;2,385891991;0,392442293;0,127245616;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_001604:74841;-0,074880516;-1,095460666;-1,605985866;-1,112494556;-0,895989635;-1,693648041;-1,510569238;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
NC_003298:56109;0,489976941;-0,647503676;-0,422445812;0,007779682;-0,808554928;0,135132051;0,001259858;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
NC_001825:104149;1,431406081;-0,116876551;-1,951958712;0,007779682;-0,712752213;0,78006416;0,757174405;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_004167:6199;-0,337926899;-0,297597384;-1,188361626;-1,859344048;-0,17328372;-1,1094544;-1,006626206;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
NC_001271:125027;-1,163061833;-2,268223409;-0,794677539;0,007779682;-0,104181967;-1,489345917;-1,38458348;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_000902:82254;-1,068918929;0,067689413;0,029929514;-0,73906981;-0,412182675;-0,502069708;-0,502683174;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_004831:48591;-0,202250348;-0,616742667;-0,6531141;1,12805392;-0,382292308;0,602266096;0,253231374;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
NC_005856:38447;-0,21609488;0,023470482;-0,083321221;1,874903412;0,007582007;0,026907142;0,379217131;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
NC_005856:31405;0,343224698;-0,86475321;-1,800877195;-1,859344048;-0,286823568;-1,05423761;-1,006626206;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
NC_003298:phi9;-0,265935264;0,196501085;-0,561097821;-0,73906981;3,60262384;-0,282306883;-0,502683174;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_000866:67785;1,124057128;0,288784022;-0,573061882;-1,112494556;-0,327709908;1,052835104;0,883160163;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
NC_001271:phi17;-0,913860016;0,467582306;-0,297224135;0,381204428;3,480056821;-0,054813708;-0,250711658;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_002730:100044;-0,26870417;0,281093781;-1,789160776;0,007779682;-0,66295943;0,302991093;0,253231374;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0
NC_005856:36569;-2,212478459;0,286861462;1,941036171;0,007779682;-0,175658928;-1,074115655;-1,006626206;1;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
NC_009935:237423;-0,902784381;0,075379654;-1,290149606;0,754629174;-0,254096606;-1,134854124;-1,258597722;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
KU574722:Porf_44;1,124057128;-0,503311522;0,514784364;0,007779682;-0,518748345;0,499562866;0,631188647;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1
NC_019401:217698;0,578582082;0,846327082;-0,238962471;-1,112494556;-0,373139769;1,222902817;1,261117437;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0
NC_000866:67162;1,068678997;-0,451402351;-1,080877325;0,381204428;-0,152266468;0,629874491;0,379217131;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
KU574722:160373;0,88039309;0,542562246;-0,659370878;-1,485919302;-0,182156835;0,86178501;0,757174405;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
NC_006949:296963;-0,653582555;0,198423646;-0,965628699;-1,485919302;0,149046254;-1,397686045;-1,132611964;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0
NC_002730:pL;0,573044137;2,359383396;0,827147735;0,381204428;-0,765791133;0,720430027;0,631188647;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1
NC_002371:45675;0,456750063;0,142669331;0,921779308;1,874903412;-0,120956656;-0,301080592;-0,250711658;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
KU574722:Porf_205;0,478901315;2,540104149;0,567677347;0,381204428;-1,09186358;0,988783627;1,009145921;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1
EU622808:A1;1,849511427;0,069611973;1,941036167;0,381204428;-1,127129962;1,038478738;1,009145921;1;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1
NC_001604:phi4c;0,110636353;0,934764852;0,565056373;0,381204428;2,942550042;0,280904377;0,001259858;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_023567:P2;-0,384998376;-0,430254165;-1,447288654;-1,112494556;3,613117865;-0,601459931;-0,75465469;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1
NC_004777:194449;-0,061035983;0,023470482;0,663105907;-1,112494556;-0,56693357;-0,834474785;-0,880640448;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
NC_002730:97786;-1,287662758;-1,076234972;-0,239041033;1,874903412;-0,106781129;-1,050924603;-1,006626206;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_004831:P2;0,321073446;0,333002953;-1,113195307;-0,73906981;1,81646675;0,559196999;0,379217131;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_019401:Porf024;1,029914174;0,95206794;1,941036167;0,381204428;-0,134389682;1,203024773;1,261117437;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1
NC_004777:phi4.7;0,459518904;1,090492459;-0,709739467;-0,365645064;2,385891991;-0,127699871;-0,376697416;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_000902:79487;-0,451452198;-0,770547668;0,308084948;0,381204428;-0,707187577;-0,6621984;-0,75465469;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_019401:Porf018;1,849511427;0,063844293;1,941036167;0,381204428;-0,53656229;1,877773949;1,891046227;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1
AY543070:278954;-1,683616786;-0,211082092;-0,229298333;0,007779682;0,624883026;-1,050924603;-1,132611964;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0
NC_019401:231405;1,849511427;1,301974266;0,723590502;0,007779682;0,480998244;0,299678085;0,253231374;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
AY543070:272725;0,705951782;0,206113887;0,921779308;-0,365645064;-0,218654425;0,463119784;0,253231374;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
NC_002730:100373;-0,277010923;-0,428331605;-0,035718731;-1,112494556;-0,412182675;0,751351429;0,883160163;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_019401:220694;-0,301931081;1,611506691;-0,932701895;0,007779682;-0,485288765;0,653065543;0,505202889;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
NC_019401:215655;0,038644717;0,794417818;0,885838759;-1,859344048;-0,008012966;0,805463884;0,757174405;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_019401:211602;0,705951782;1,13471139;0,061781343;1,501478666;0,249908589;0,818715913;0,757174405;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
NC_003525:115058;0,060796035;-1,001255078;-0,051469475;1,12805392;-0,473262989;-1,126019437;-1,132611964;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_000866:PdsbA;1,849511427;1,611506691;0,514784364;0,381204428;-0,673637623;1,691141198;1,639074711;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1
NC_004679:PL5;1,849511427;1,649957896;0,387377214;0,754629174;-0,927463978;2,637556982;2,646960775;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1
NC_028870:P2;-0,384998376;-0,430254165;-1,143652151;0,007779682;3,988198814;-0,415931515;-0,502683174;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1
NC_000866:P5.1;0,478901315;2,540104149;0,405489095;0,381204428;-0,600399213;1,041791746;0,883160163;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
