;score10_6;score10_8;score35;dist35_10;scorephage;fe;freqAT;host;size10;size35_6;sizephage_23;sizephage_21;TG;Podo;Myo;tp;EColi;Pectobacterium;Cronobacter;output
EU236438:264202;-1,350933263;-0,787263693;-0,659723328;0,017383613;-0,50974253;-1,879251397;-1,721560657;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_004914:120000;-1,325404811;-1,174887752;0,494271076;0,017383613;0,418011725;-0,940603163;-1,080383503;1;1;0;0;1;0;1;0;1;1;0;0;0
NC_019401:203021;0,155246823;-0,051368191;0,022652295;0,395802401;-0,222575766;0,130042478;0,201970803;1;1;0;1;0;0;0;1;0;0;0;1;0
NC_028870:P2;-0,321284753;-0,377995599;-1,109663346;0,017383613;4,502446294;-0,350563468;-0,43920635;0;1;0;0;0;0;1;0;0;0;0;0;1
NC_019401:231877;-0,222007339;-1,304751727;-0,184048884;0,774221188;0,613404577;-0,532200927;-0,310970919;1;1;1;0;1;0;0;1;0;0;0;1;0
KU574722:170343;-0,766614832;-0,370125066;-0,611135732;-1,11787275;-0,62593842;-0,597635539;-0,567441781;1;1;0;0;0;0;0;1;0;0;1;0;0
NC_028816:136691;1,128165372;0,611724838;-0,859985665;0,017383613;-0,286561928;0,07363333;-0,182735489;1;1;0;1;0;0;1;0;0;0;0;0;0
NC_000866:P147.7/2;0,974994525;1,802143973;1,248678281;0,017383613;-0,96046575;2,070517192;2,125502263;1;1;1;0;0;1;0;1;0;1;0;0;1
NC_011085:191575;0,699854339;0,139492413;-1,376251853;-1,11787275;0,109725211;0,608392059;0,586677095;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_000866:67258;-0,026289038;0,615660104;0,589110733;1,152639976;-0,647728238;1,30335277;1,48432511;1;1;1;1;0;0;0;1;0;1;0;0;0
NC_001604:75420;-0,587915505;-0,051368191;1,618768831;0,774221188;-0,839739402;0,413216405;0,330206234;1;1;1;0;1;0;1;0;0;1;0;0;0
NC_004665:91937;-2,048711626;-1,414939277;0,413226065;1,909477551;1,12432077;-1,362543595;-1,465089795;0;1;1;0;1;0;1;0;0;0;0;0;0
NC_012418:258762;-0,139748892;0,13162188;-0,719031365;0,017383613;-0,351969986;-1,171880673;-1,208618934;1;1;1;1;0;0;1;0;0;0;0;0;0
AY543070:280073;0,231832247;-0,688881941;-0,506504051;0,017383613;-0,515490175;0,088299708;-0,054500058;1;1;1;1;0;1;0;0;0;1;0;0;0
NC_000866:PrIIB1;1,167876432;0,127686614;1,199160565;-1,496291537;-0,972169428;1,280789111;1,356089679;1;1;0;0;0;0;0;1;0;1;0;0;1
NC_004167:8016;-0,406379661;-0,822681136;-0,423049727;0,017383613;-0,637109748;0,380499098;0,330206234;1;1;0;0;1;0;0;0;1;0;0;0;0
KU574722:164236;0,24601472;-0,05727109;-1,250107039;0,017383613;-1,222447928;0,447061894;0,458441665;1;1;0;0;0;0;0;1;0;0;1;0;0
NC_028816:137337;-1,038918579;-0,568856178;-0,25080604;-1,11787275;-0,116001123;-1,22377709;-1,336854365;1;1;0;0;0;0;1;0;0;0;0;0;0
NC_004831:52730;-0,624789961;-0,405542486;-0,440547366;1,531058763;-0,236192536;0,098453355;-0,054500058;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_019401:201289;1,967768738;0,444475832;-0,184048884;0,774221188;-0,075536173;1,961083444;1,869031402;1;1;1;0;1;0;0;1;0;0;0;1;0
NC_003525:110721;-1,06728356;-0,879742545;0,413226065;-0,739453962;-0,092904424;-1,371569059;-1,208618934;1;1;1;0;1;0;1;0;1;1;0;0;0
KU574722:Porf_226;0,541010503;2,477042847;0,453533015;1,152639976;-0,705135383;1,792984181;1,740795971;1;0;1;0;1;0;0;1;0;0;1;0;1
NC_001609:pLL;0,424714019;0,611724838;0,039471255;0,017383613;0,231014987;-0,351691651;-0,310970919;1;1;1;1;0;0;0;1;1;1;0;0;1
AY543070:279324;-0,863055741;-0,195005543;-0,316416526;0,017383613;-0,346282334;0,16501615;0,201970803;1;1;0;1;0;0;0;0;0;1;0;0;0
NC_028816:A1;0,640287884;1,050507452;2,084130498;0,395802401;-0,66905697;-0,065133176;-0,182735489;1;1;1;1;0;0;1;0;0;0;0;0;1
NC_011040:200830;1,318210717;-1,491677017;-0,993103678;-1,11787275;0,40209084;-0,585225527;-0,567441781;1;1;0;0;1;0;1;0;0;1;0;0;0
NC_025418:145519;-1,211944923;-0,3386429;0,039471255;0,017383613;-0,091457071;-1,114343341;-1,080383503;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_001609:47744;-1,214781418;-0,948609799;-1,975873862;0,017383613;0,54393159;-1,825098614;-1,721560657;0;1;1;0;1;0;0;1;1;1;0;0;0
KU574722:183111;0,810477699;0,133589513;0,358262248;0,774221188;-0,50974253;-0,056107712;0,073735373;1;1;1;0;1;0;0;1;0;0;1;0;0
KU574722:152122;-0,409216156;-0,332739989;-0,61643199;1,531058763;-0,655925374;0,13455521;0,073735373;1;1;1;0;1;1;0;1;0;0;1;0;0
NC_001416:POop;0,853025186;0,001757963;0,680717327;0,395802401;-0,874475878;0,518137421;0,458441665;1;1;1;0;1;1;0;0;1;1;0;0;1
NC_004914:116210;0,05313288;-0,195005543;-0,766345113;0,395802401;-0,303624904;-0,608917369;-0,43920635;1;1;0;1;0;0;1;0;1;1;0;0;0
NC_019401:229572;0,725382724;-0,466539184;-1,00117969;-0,739453962;0,290644541;0,35455089;0,201970803;1;1;1;0;1;0;0;1;0;0;0;1;0
NC_000902:80591;0,861534603;0,442508199;0,317955298;-0,361035175;0,739324477;-0,022262223;0,201970803;1;1;1;0;1;1;1;0;1;1;0;0;0
NC_000866:61955;0,974994525;1,353523239;-1,709582569;0,395802401;-0,349086188;-0,07415864;-0,182735489;1;0;0;0;1;0;0;1;0;1;0;0;0
EU056923:P4;0,796295158;-0,063173995;-1,475051067;-1,11787275;4,391389811;-0,760093888;-0,952148073;0;1;0;0;0;0;1;0;0;0;0;0;1
NC_000866:P65.1;-0,026289038;1,217756411;0,824417768;-1,874710325;-0,4663219;0,304910839;0,330206234;1;1;0;0;1;0;0;1;0;1;0;0;1
NC_012418:261143;-1,560834071;-1,87930117;-1,086256054;0,017383613;0,211040029;-1,721305781;-1,849796087;0;1;0;0;1;0;1;0;0;0;0;0;0
NC_019401:201582;0,109862841;0,176877489;1,39891304;0,395802401;1,147478421;0,378242732;0,330206234;1;1;1;0;1;0;0;1;0;0;0;1;0
NC_001978:lp1;-1,118340498;-1,861592425;-1,18805715;0,395802401;3,348904721;-1,51597648;-1,465089795;0;1;1;0;1;0;0;0;1;0;0;0;1
NC_021190:285696;0,013421955;-0,773490261;-1,409626299;-1,874710325;-0,023431407;-0,484817242;-0,695677211;1;1;0;0;1;1;0;0;1;1;0;0;0
KU574722:185455;-0,468782611;-0,688881941;0,358262248;0,395802401;0,969453806;-0,432920825;-0,310970919;0;1;1;0;1;0;0;1;0;0;1;0;0
NC_011043:186656;0,328273133;-1,324428059;-1,393151546;0,017383613;-0,73842454;-0,696915641;-0,952148073;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_005856:p1PmgF;0,725382724;0,182780389;0,680717327;1,909477551;-0,660267399;0,352294524;0,073735373;1;1;1;0;1;0;0;1;1;1;0;0;1
NC_003298:53905;0,489953464;-0,655432131;-0,766345113;0,395802401;0,512089785;-0,402459885;-0,310970919;1;1;0;0;1;0;1;0;0;1;0;0;0
NC_028870:140932;0,424714019;-0,301257835;-1,008508232;0,395802401;-1,078552919;-0,963166823;-0,952148073;1;1;1;0;1;0;1;0;0;0;0;0;0
KU574722:Porf_250;-0,431908147;2,662000457;0,073704921;0,017383613;-0,464874547;1,107048933;1,099618818;1;0;0;0;1;0;0;1;0;0;1;0;1
AY543070:P31B;1,967768738;1,394843582;0,977522671;0,774221188;-0,142114484;1,650833126;1,612560541;1;1;1;0;1;0;0;0;0;1;0;0;1
NC_000902:79406;-2,26995848;-0,903354142;0,133523414;0,017383613;0,563742965;-1,108702426;-1,080383503;0;1;0;1;0;0;1;0;1;1;0;0;0
NC_006949:292983;-0,295756268;-0,686914308;-0,184048884;-0,361035175;-0,043694371;-1,021832337;-0,823912642;1;1;1;0;1;0;0;0;1;0;0;0;0
NC_011043:phi9;-0,51416656;0,566469228;-0,173113998;0,017383613;3,569670261;-0,111388678;-0,310970919;0;1;0;1;0;0;1;0;0;0;0;0;1
NC_004665:phi10;-1,197762416;0,277226874;-0,136413413;0,017383613;2,571486445;-0,684505628;-0,823912642;0;0;1;1;0;0;1;0;0;0;0;0;1
NC_000866:63576;-0,650318439;0,572372128;1,596964579;-1,11787275;-0,399743584;0,846438666;0,714912526;1;1;0;0;1;0;0;1;0;1;0;0;0
NC_011085:p8;0,288562208;-0,224520066;0,51216118;-0,361035175;0,976098201;0,518137421;0,458441665;1;1;1;1;0;1;1;0;0;0;0;0;1
NC_004165:1196;0,489953464;-0,686914308;-1,236668044;-1,496291537;-0,751600318;-0,305436149;-0,054500058;1;1;0;0;0;0;1;0;0;0;0;0;0
NC_001825:103690;0,135391361;2,303890942;-0,57057882;0,395802401;0,614851965;0,441420979;0,458441665;1;0;0;0;1;1;1;0;0;0;0;0;0
NC_011048:10761;-0,295756268;0,444475832;0,82362374;-0,361035175;-0,212622357;0,448190077;0,201970803;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_003298:55337;-1,087139022;-1,733696223;-0,908720586;0,395802401;-0,211587498;-1,080497852;-1,080383503;1;1;0;0;1;0;1;0;0;1;0;0;0
EU056923:267469;-1,109831014;0,318547217;0,31429095;0,017383613;-0,476453372;-1,3490054;-1,208618934;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_004777:C;0,489953464;-1,682537667;0,608219952;-1,11787275;-0,423065715;-0,214053329;-0,310970919;1;1;0;1;0;0;1;0;0;0;0;0;1
NC_010326:254212;-0,667337424;-0,686914308;-1,086256054;0,017383613;0,187882361;-1,598333837;-1,721560657;0;1;0;0;1;0;1;0;0;0;0;0;0
NC_000866:63103;0,05313288;0,139492413;-0,282515023;-1,496291537;-0,637109748;0,933308755;1,099618818;1;1;0;0;1;0;0;1;0;1;0;0;0
NC_027375:252764;-0,57089652;-1,42280981;-1,706537949;-1,11787275;1,198135886;-1,984172413;-2,106266949;0;1;0;0;1;0;1;0;0;0;0;0;0
NC_011976:298424;-0,431908147;-1,521191561;-1,433562818;0,017383613;0,329723111;-0,757837522;-0,823912642;0;1;1;0;1;0;1;0;1;0;0;0;0
NC_023567:133114;0,518318411;0,845873417;-1,492191047;-0,739453962;-0,599383121;-0,567174599;-0,310970919;1;0;1;1;0;0;1;0;0;0;0;0;0
NC_005045:94828;-0,891420713;-0,997800674;-1,573850274;-1,11787275;0,084382454;-1,664896632;-1,721560657;0;1;0;0;0;0;1;0;0;0;0;0;0
NC_019401:225435;0,424714019;0,147362945;-1,475051067;-1,11787275;-0,116001123;0,146965223;0,201970803;1;1;0;0;0;0;0;1;0;0;0;1;0
NC_000866:P26.1;0,665816403;-0,651496865;-0,755674011;0,395802401;-0,464874547;1,034845223;1,227854249;1;1;1;0;1;0;0;1;0;1;0;0;1
NC_004167:8397;-1,453047206;-1,318525112;0,358262248;-0,739453962;-0,365007073;-1,233930736;-1,208618934;1;1;1;0;1;0;0;0;1;0;0;0;0
NC_000866:68691;-1,132523005;1,42042286;1,39891304;0,774221188;0,23670264;0,61628934;0,971383387;1;0;1;1;0;0;0;1;0;1;0;0;0
NC_005856:30924;-0,060326974;-1,320492792;0,138406369;1,909477551;0,375552935;0,245117142;0,330206234;1;1;1;0;0;0;0;1;1;1;0;0;0
NC_002166:18196;-1,055937547;-0,230422972;0,446204495;-0,739453962;0,35867021;-0,959782274;-0,823912642;1;1;1;0;1;0;0;0;1;1;0;0;0
NC_000929:30332;-0,083018999;0,127686614;-0,262098651;0,395802401;-0,857833639;0,246245325;0,201970803;1;1;0;0;0;0;0;1;1;1;0;0;0
NC_010326:254038;-1,132523005;-0,021853658;0,317955298;0,774221188;0,459985002;-1,446029135;-1,465089795;0;1;1;0;1;0;1;0;0;0;0;0;0
NC_021190:287232;-1,512613661;0,05685175;0,607432122;-0,361035175;0,018541874;-1,007165959;-0,823912642;1;1;1;0;1;0;0;0;1;1;0;0;0
NC_005856:pSimA;0,217649773;2,477042847;0,10542794;-0,739453962;-0,585163989;1,823445121;1,869031402;1;0;1;1;0;0;0;1;1;1;0;0;1
NC_019401:223977;0,739565265;0,655012767;-0,019156997;-0,739453962;-0,250666068;0,826131373;0,843147957;1;1;1;0;1;0;0;1;0;0;0;1;0
NC_011976:297643;-1,169397469;-0,777425527;1,39891304;-0,361035175;-0,043694371;-0,547995489;-0,43920635;1;1;1;0;1;0;1;0;1;0;0;0;0
NC_001416:PR;0,810477699;-0,248131688;1,714039773;0,395802401;-0,501058411;0,026249645;-0,054500058;1;1;1;0;1;0;0;0;1;1;0;0;1
NC_028816:135987;-0,397870177;-1,052894402;-0,286648259;0,395802401;-0,515531943;-0,881937649;-0,952148073;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_019401:212443;0,665816403;1,209885878;-0,147406194;0,017383613;0,617775735;1,042742504;1,227854249;1;1;1;1;0;0;0;1;0;0;0;1;0
KU574722:181135;0,175102286;0,611724838;0,0057488;-1,874710325;-0,549616125;1,174739911;1,356089679;1;1;0;1;0;0;0;1;0;0;1;0;0
NC_011043:phi1.05;-0,51416656;-0,732169918;0,039471255;1,531058763;3,11181387;-0,369742579;-0,43920635;0;1;1;1;0;0;1;0;0;0;0;0;1
NC_000866:60237;1,28984577;0,086366271;0,106641087;-1,11787275;-0,263692264;0,154862504;0,201970803;1;1;0;0;1;0;0;1;0;1;0;0;0
EU622808:5070;-0,318448259;-0,509827137;0,680717327;1,531058763;-0,583557612;0,058966951;0,073735373;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_004679:101911;0,541010503;1,400746435;0,977522671;1,531058763;0,103042671;1,539143012;1,612560541;1;1;1;1;0;0;1;0;0;0;0;0;0
KP025626:P13;-0,704211888;0,670753832;0,24212499;-1,874710325;2,673864196;-0,399075336;-0,43920635;0;1;0;1;0;0;1;0;0;0;0;0;1
KU574722:152234;0,132554866;1,400746435;0,404007689;0,017383613;-0,58089825;1,116074397;0,971383387;1;1;0;1;0;0;0;1;0;0;1;0;0
NC_002166:20254;0,725382724;-0,797101858;-0,891251773;0,017383613;-0,609336548;-0,161028729;-0,182735489;1;1;1;1;0;1;0;0;1;1;0;0;0
NC_000866:PsegA;0,725382724;0,440540566;1,05214626;-1,496291537;-1,051053174;1,122843495;1,356089679;1;1;0;0;1;1;0;1;0;1;0;0;1
NC_005856:31952;-1,64876554;-0,734137551;1,39891304;-0,739453962;-0,605267944;-0,621327382;-0,567441781;1;1;1;0;1;0;0;1;1;1;0;0;0
NC_005045:94121;-0,491474585;-0,820713503;-1,067136441;0,017383613;0,043146905;-1,638948424;-1,593325226;1;1;1;0;1;0;1;0;0;0;0;0;0
KU574722:175897;1,167876432;1,400746435;-0,891251773;0,017383613;-0,206934704;0,770850407;0,714912526;1;0;1;1;0;0;0;1;0;0;1;0;0
NC_002730:100037;-1,200598944;-0,562953279;-0,05213534;0,774221188;-0,330270563;-0,124926874;-0,054500058;1;1;1;0;1;0;1;0;1;1;0;0;0
NC_001604:77250;-0,786470313;-1,052894402;-0,004499956;-0,361035175;-0,498163705;-0,597635539;-0,695677211;1;1;1;0;1;0;1;0;0;1;0;0;0
NC_003525:114056;0,810477699;1,036733973;-0,588074585;-1,11787275;-0,460035492;0,524906519;0,843147957;1;1;0;1;0;0;1;0;1;1;0;0;0
NC_009936:A4;0,54384693;-1,706149265;2,084130498;0,395802401;-0,533975046;-1,248597115;-1,336854365;1;1;1;1;0;0;1;0;0;0;0;0;1
NC_013649:125859;0,600576959;0,611724838;-0,689717283;0,017383613;0,059067807;-0,439689923;-0,695677211;1;1;1;0;1;1;1;0;0;0;0;0;0
NC_012418:261040;-0,159604422;-1,355910189;-0,63996208;-1,11787275;0,044594258;-1,555462884;-1,593325226;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_005856:33583;-0,41772564;0,033240117;-0,370926333;0,017383613;0,179826061;0,360191805;0,330206234;1;1;1;1;0;0;0;1;1;1;0;0;0
KU574722:176634;-0,085855494;1,209885878;0,204363142;0,395802401;-0,816581682;0,935565121;0,971383387;1;0;1;0;1;1;0;1;0;0;1;0;0
NC_001271:124457;-1,779244363;-1,106020544;2,084130502;0,395802401;0,299266872;-0,38553714;-0,310970919;1;1;0;1;0;0;1;0;0;0;0;0;0
KU574722:176032;-0,95098716;0,208359643;-0,314224005;-1,11787275;-0,664791197;0,474138285;0,458441665;1;1;0;1;0;0;0;1;0;0;1;0;0
NC_004167:6554;0,112699336;1,223659357;-0,708754702;-1,11787275;0,478800628;0,13455521;0,073735373;1;0;0;0;1;0;0;0;1;0;0;0;0
NC_000924:13806;0,160919813;-0,383898498;0,6975817;-1,496291537;-0,623760245;-0,479176327;-0,43920635;1;1;0;0;0;0;1;0;1;1;0;0;0
NC_005856:34858;0,640287884;0,259518129;-0,198705925;0,017383613;-0,041992616;0,065736049;0,073735373;1;1;1;1;0;0;0;1;1;1;0;0;0
NC_003525:110911;-1,053101053;-0,970253716;-0,151070542;0,774221188;-0,075536173;-0,267077928;-0,43920635;1;1;1;0;1;1;1;0;1;1;0;0;0
NC_004777:195502;-0,017779554;-0,694784841;0,123501629;0,395802401;-0,689480844;0,219168933;0,201970803;1;1;0;0;0;0;1;0;0;0;0;0;0
NC_001895:pC;1,967768738;0,228035998;-0,700710064;-0,739453962;-0,870437535;0,052197853;0,073735373;1;1;1;0;0;0;0;1;1;0;0;0;1
NC_000866:Pt;0,410531613;2,662000457;-0,370926333;0,395802401;-0,771713698;0,680595769;0,714912526;1;0;1;0;1;0;0;1;0;1;0;0;1
NC_005856:39375;-0,100037967;0,493666708;-0,414897456;-0,739453962;0,339854584;-0,411485349;-0,310970919;1;1;1;0;1;0;0;1;1;1;0;0;0
NC_004777:196259;-1,013390111;-0,903354142;-0,891251773;0,774221188;-0,501058411;-0,300923417;-0,43920635;1;1;1;0;1;0;1;0;0;0;0;0;0
KU574722:154505;0,665816403;-0,153685207;-0,396576155;1,909477551;-0,638557067;1,180380826;1,099618818;1;1;1;0;1;0;0;1;0;0;1;0;0
AY543070:274099;-0,321284753;-0,828584036;-0,110763591;0,017383613;0,461432389;-0,020005857;-0,310970919;1;1;1;0;1;0;0;0;0;1;0;0;0
NC_011048:11479;-0,882911221;1,648668493;0,022652295;0,395802401;-0,10455686;0,988589721;0,971383387;1;0;0;1;0;0;1;0;0;0;0;0;0
NC_023567:133423;-0,979352141;-1,355910189;-1,374934599;0,774221188;0,316696933;-1,339979936;-1,593325226;0;1;1;0;1;0;1;0;0;0;0;0;0
NC_000866:63744;1,167876432;0,483828542;-0,173056103;0,395802401;-0,338954716;0,345525426;0,458441665;1;1;1;0;1;0;0;1;0;1;0;0;0
NC_001271:phi10;1,343739236;0,796682541;-1,286518368;0,017383613;4,188203149;0,634340267;0,330206234;0;1;0;1;0;0;1;0;0;0;0;0;1
NC_019401:233468;0,013421955;-0,464571551;-0,046138764;-1,11787275;-0,25812363;-0,03241587;-0,054500058;1;1;0;1;0;0;0;1;0;0;0;1;0
KU574722:183812;0,24601472;0,800617808;0,51216118;-0,361035175;-1,013582411;0,959256964;0,971383387;1;1;1;0;0;0;0;1;0;0;1;0;0
NC_001604:A2;0,739565265;0,133589513;2,084130498;0,774221188;0,821109493;0,448190077;0,458441665;1;1;1;1;0;0;1;0;0;1;0;0;1
NC_019401:206862;-0,236189812;0,450378732;1,39891304;-0,361035175;-0,255008145;0,660288476;0,843147957;1;1;1;0;1;0;0;1;0;0;0;1;0
NC_011043:188070;-1,143868983;-1,228013894;1,072793613;1,909477551;0,077883415;-1,109830609;-1,080383503;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_012418:262373;-1,013390111;-1,26539897;-1,237963841;0,395802401;-0,950595988;-1,043267814;-1,336854365;1;1;0;1;0;1;1;0;0;0;0;0;0
KU574722:175382;-1,484248647;-1,174887752;0,648627802;0,017383613;0,985374726;-1,061318741;-1,080383503;0;1;0;0;1;0;0;1;0;0;1;0;0
NC_005856:pC8;-0,029125533;1,833626103;0,82362374;1,531058763;-0,689480844;0,274449899;0,201970803;1;0;1;0;0;0;0;1;1;1;0;0;1
NC_028870:138985;0,288562208;0,473990376;-0,440547366;1,909477551;-0,013554325;0,611776608;0,586677095;1;1;1;1;0;0;1;0;0;0;0;0;0
KU574722:155833;0,810477699;1,036733973;0,138406369;-0,739453962;-0,366279559;0,526034702;0,586677095;1;1;1;0;0;0;0;1;0;0;1;0;0
NC_005856:39657;-0,162440917;0,259518129;-0,256571309;-1,874710325;-0,693556557;0,46849737;0,458441665;1;1;0;0;1;0;0;1;1;1;0;0;0
NC_001609:47476;0,665816403;-0,08875325;0,037457714;-1,496291537;-0,177074493;0,674954854;0,458441665;1;1;0;1;0;0;0;1;1;1;0;0;0
NC_000866:58226;-0,139748892;1,394843582;-0,098960038;0,395802401;0,589337471;0,321833584;0,330206234;1;0;0;1;0;0;0;1;0;1;0;0;0
NC_004167:9125;1,539457571;-0,777425527;-1,952807341;0,017383613;-0,128729401;-1,14818883;-1,080383503;1;1;0;1;0;0;0;0;1;0;0;0;0
NC_019401:234284;-0,100037967;-0,828584036;0,319956198;-1,496291537;0,025778649;-0,661941969;-0,43920635;1;1;0;0;1;1;0;1;0;0;0;1;0
NC_009935:P2;-0,21066136;-1,135535089;-1,956998456;-1,11787275;4,06921638;-1,788996759;-1,978031518;0;1;0;0;0;0;1;0;0;0;0;0;1
NC_009935:240351;0,05313288;-0,997800674;-0,370926333;0,395802401;-0,185535123;-0,520919097;-0,567441781;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_012418:258987;-0,224843834;-0,917127574;-0,675060198;-0,739453962;-0,206934704;-2,046222477;-2,106266949;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_000866:60145;-0,406379661;1,394843582;0,570789519;0,017383613;0,076659256;0,916386011;0,971383387;1;0;1;0;0;0;0;1;0;1;0;0;0
NC_005045:96449;-1,274347873;-1,601864567;0,402233371;1,531058763;0,008410394;-1,763048551;-1,593325226;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_028870:139612;-1,436028238;0,50940782;-0,20180118;-1,874710325;0,0749887;-1,182034319;-0,952148073;1;0;0;0;1;0;1;0;0;0;0;0;0
KU574722:177851;0,061642432;0,928514103;-0,231684268;0,017383613;-0,553163195;0,999871551;0,843147957;1;1;1;0;1;0;0;1;0;0;1;0;0
NC_006949:292711;-1,424682192;-0,773490261;1,248678281;0,017383613;-1,095631339;-0,508509085;-0,567441781;1;1;1;1;0;0;0;0;1;0;0;0;0
AY543070:275958;-0,236189812;0,438572933;-1,323634906;-0,739453962;-0,428753367;0,072505147;-0,054500058;1;0;1;1;0;0;0;0;0;1;0;0;0
NC_000866:57491;1,403305692;1,036733973;1,39891304;1,909477551;-1,139341753;1,505297523;1,48432511;1;1;1;0;1;0;0;1;0;1;0;0;0
KU574722:178809;0,810477699;-0,037594735;-0,418561717;0,395802401;-0,600805069;0,696390331;0,714912526;1;1;1;1;0;0;0;1;0;0;1;0;0
NC_000866:P35.3;1,128165372;0,133589513;0,930843795;0,395802401;-0,815134363;1,324788247;1,227854249;1;1;0;0;1;1;0;1;0;1;0;0;1
NC_004914:119603;-1,26867485;-0,681011409;1,718035377;-1,874710325;0,043146905;-1,270032591;-1,080383503;1;1;0;0;1;0;1;0;1;1;0;0;0
NC_011976:298180;-1,305549348;0,086366271;2,084130498;0,395802401;-0,202903379;0,65803211;0,586677095;1;1;1;0;1;0;1;0;1;0;0;0;0
